127.0.0.1 - - [27/Feb/2026:20:40:43 +0800] "GET / HTTP/1.1" 200 888 "-" "Mozilla/5.0 (Windows NT; Windows NT 10.0; zh-CN) WindowsPowerShell/5.1.26100.7705"
127.0.0.1 - - [27/Feb/2026:20:52:56 +0800] "GET /assets/index-DXP3Tvi7.js HTTP/1.1" 200 125885 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:20:52:56 +0800] "GET /assets/index-DL9J5DjS.css HTTP/1.1" 200 5532 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:20:53:00 +0800] "GET /80 HTTP/1.1" 200 888 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:00:18 +0800] "GET /80 HTTP/1.1" 200 888 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:00:18 +0800] "GET /assets/index-DXP3Tvi7.js HTTP/1.1" 200 125885 "http://localhost/80" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:00:18 +0800] "GET /assets/index-DL9J5DjS.css HTTP/1.1" 200 5532 "http://localhost/80" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:01:05 +0800] "GET /80 HTTP/1.1" 200 888 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:01:05 +0800] "GET /assets/index-BXEcelnt.js HTTP/1.1" 200 125908 "http://localhost/80" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:01:05 +0800] "GET /assets/index-DL9J5DjS.css HTTP/1.1" 200 5532 "http://localhost/80" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:01:41 +0800] "POST /api/auth/send-email-code HTTP/1.1" 400 71 "http://localhost/80" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:01:42 +0800] "POST /api/auth/send-email-code HTTP/1.1" 400 71 "http://localhost/80" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:01:47 +0800] "POST /api/auth/send-email-code HTTP/1.1" 400 71 "http://localhost/80" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:01:47 +0800] "POST /api/auth/send-email-code HTTP/1.1" 400 71 "http://localhost/80" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:01:47 +0800] "POST /api/auth/send-email-code HTTP/1.1" 400 71 "http://localhost/80" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:01:47 +0800] "POST /api/auth/send-email-code HTTP/1.1" 400 71 "http://localhost/80" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:01:47 +0800] "POST /api/auth/send-email-code HTTP/1.1" 400 71 "http://localhost/80" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:01:48 +0800] "POST /api/auth/send-email-code HTTP/1.1" 400 71 "http://localhost/80" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:01:48 +0800] "POST /api/auth/send-email-code HTTP/1.1" 400 71 "http://localhost/80" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:01:48 +0800] "POST /api/auth/send-email-code HTTP/1.1" 400 71 "http://localhost/80" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:01:49 +0800] "POST /api/auth/send-email-code HTTP/1.1" 400 71 "http://localhost/80" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:02:24 +0800] "POST /api/auth/send-email-code HTTP/1.1" 429 96 "http://localhost/80" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:02:25 +0800] "POST /api/auth/send-email-code HTTP/1.1" 200 69 "http://localhost/80" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:02:47 +0800] "POST /api/auth/register HTTP/1.1" 200 237 "http://localhost/80" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:02:47 +0800] "GET /api/friend/list HTTP/1.1" 500 74 "http://localhost/80" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:02:47 +0800] "GET /api/friend/requests HTTP/1.1" 500 74 "http://localhost/80" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:02:47 +0800] "GET /ws?token=eyJhbGciOiJIUzI1NiJ9.eyJ1c2VybmFtZSI6IjgyMzA0NjEyNjQiLCJzdWIiOiIzIiwiaWF0IjoxNzcyMTk3MzY3LCJleHAiOjE3NzIyODM3Njd9.F-GzqAKiY28jPzap2VXplCedRXmsY8pf6ipZuJ-714k HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:02:50 +0800] "GET /ws?token=eyJhbGciOiJIUzI1NiJ9.eyJ1c2VybmFtZSI6IjgyMzA0NjEyNjQiLCJzdWIiOiIzIiwiaWF0IjoxNzcyMTk3MzY3LCJleHAiOjE3NzIyODM3Njd9.F-GzqAKiY28jPzap2VXplCedRXmsY8pf6ipZuJ-714k HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:02:54 +0800] "GET /ws?token=eyJhbGciOiJIUzI1NiJ9.eyJ1c2VybmFtZSI6IjgyMzA0NjEyNjQiLCJzdWIiOiIzIiwiaWF0IjoxNzcyMTk3MzY3LCJleHAiOjE3NzIyODM3Njd9.F-GzqAKiY28jPzap2VXplCedRXmsY8pf6ipZuJ-714k HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:02:57 +0800] "GET /ws?token=eyJhbGciOiJIUzI1NiJ9.eyJ1c2VybmFtZSI6IjgyMzA0NjEyNjQiLCJzdWIiOiIzIiwiaWF0IjoxNzcyMTk3MzY3LCJleHAiOjE3NzIyODM3Njd9.F-GzqAKiY28jPzap2VXplCedRXmsY8pf6ipZuJ-714k HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:03:00 +0800] "GET /ws?token=eyJhbGciOiJIUzI1NiJ9.eyJ1c2VybmFtZSI6IjgyMzA0NjEyNjQiLCJzdWIiOiIzIiwiaWF0IjoxNzcyMTk3MzY3LCJleHAiOjE3NzIyODM3Njd9.F-GzqAKiY28jPzap2VXplCedRXmsY8pf6ipZuJ-714k HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:03:04 +0800] "GET /ws?token=eyJhbGciOiJIUzI1NiJ9.eyJ1c2VybmFtZSI6IjgyMzA0NjEyNjQiLCJzdWIiOiIzIiwiaWF0IjoxNzcyMTk3MzY3LCJleHAiOjE3NzIyODM3Njd9.F-GzqAKiY28jPzap2VXplCedRXmsY8pf6ipZuJ-714k HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:03:07 +0800] "GET /ws?token=eyJhbGciOiJIUzI1NiJ9.eyJ1c2VybmFtZSI6IjgyMzA0NjEyNjQiLCJzdWIiOiIzIiwiaWF0IjoxNzcyMTk3MzY3LCJleHAiOjE3NzIyODM3Njd9.F-GzqAKiY28jPzap2VXplCedRXmsY8pf6ipZuJ-714k HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:03:10 +0800] "GET /ws?token=eyJhbGciOiJIUzI1NiJ9.eyJ1c2VybmFtZSI6IjgyMzA0NjEyNjQiLCJzdWIiOiIzIiwiaWF0IjoxNzcyMTk3MzY3LCJleHAiOjE3NzIyODM3Njd9.F-GzqAKiY28jPzap2VXplCedRXmsY8pf6ipZuJ-714k HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:03:14 +0800] "GET /ws?token=eyJhbGciOiJIUzI1NiJ9.eyJ1c2VybmFtZSI6IjgyMzA0NjEyNjQiLCJzdWIiOiIzIiwiaWF0IjoxNzcyMTk3MzY3LCJleHAiOjE3NzIyODM3Njd9.F-GzqAKiY28jPzap2VXplCedRXmsY8pf6ipZuJ-714k HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:03:17 +0800] "GET /ws?token=eyJhbGciOiJIUzI1NiJ9.eyJ1c2VybmFtZSI6IjgyMzA0NjEyNjQiLCJzdWIiOiIzIiwiaWF0IjoxNzcyMTk3MzY3LCJleHAiOjE3NzIyODM3Njd9.F-GzqAKiY28jPzap2VXplCedRXmsY8pf6ipZuJ-714k HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:03:20 +0800] "GET /ws?token=eyJhbGciOiJIUzI1NiJ9.eyJ1c2VybmFtZSI6IjgyMzA0NjEyNjQiLCJzdWIiOiIzIiwiaWF0IjoxNzcyMTk3MzY3LCJleHAiOjE3NzIyODM3Njd9.F-GzqAKiY28jPzap2VXplCedRXmsY8pf6ipZuJ-714k HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:03:24 +0800] "GET /ws?token=eyJhbGciOiJIUzI1NiJ9.eyJ1c2VybmFtZSI6IjgyMzA0NjEyNjQiLCJzdWIiOiIzIiwiaWF0IjoxNzcyMTk3MzY3LCJleHAiOjE3NzIyODM3Njd9.F-GzqAKiY28jPzap2VXplCedRXmsY8pf6ipZuJ-714k HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:03:27 +0800] "GET /ws?token=eyJhbGciOiJIUzI1NiJ9.eyJ1c2VybmFtZSI6IjgyMzA0NjEyNjQiLCJzdWIiOiIzIiwiaWF0IjoxNzcyMTk3MzY3LCJleHAiOjE3NzIyODM3Njd9.F-GzqAKiY28jPzap2VXplCedRXmsY8pf6ipZuJ-714k HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:03:31 +0800] "GET /ws?token=eyJhbGciOiJIUzI1NiJ9.eyJ1c2VybmFtZSI6IjgyMzA0NjEyNjQiLCJzdWIiOiIzIiwiaWF0IjoxNzcyMTk3MzY3LCJleHAiOjE3NzIyODM3Njd9.F-GzqAKiY28jPzap2VXplCedRXmsY8pf6ipZuJ-714k HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:03:35 +0800] "GET /ws?token=eyJhbGciOiJIUzI1NiJ9.eyJ1c2VybmFtZSI6IjgyMzA0NjEyNjQiLCJzdWIiOiIzIiwiaWF0IjoxNzcyMTk3MzY3LCJleHAiOjE3NzIyODM3Njd9.F-GzqAKiY28jPzap2VXplCedRXmsY8pf6ipZuJ-714k HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:03:40 +0800] "GET /ws?token=eyJhbGciOiJIUzI1NiJ9.eyJ1c2VybmFtZSI6IjgyMzA0NjEyNjQiLCJzdWIiOiIzIiwiaWF0IjoxNzcyMTk3MzY3LCJleHAiOjE3NzIyODM3Njd9.F-GzqAKiY28jPzap2VXplCedRXmsY8pf6ipZuJ-714k HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:03:46 +0800] "GET /ws?token=eyJhbGciOiJIUzI1NiJ9.eyJ1c2VybmFtZSI6IjgyMzA0NjEyNjQiLCJzdWIiOiIzIiwiaWF0IjoxNzcyMTk3MzY3LCJleHAiOjE3NzIyODM3Njd9.F-GzqAKiY28jPzap2VXplCedRXmsY8pf6ipZuJ-714k HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:03:54 +0800] "GET /ws?token=eyJhbGciOiJIUzI1NiJ9.eyJ1c2VybmFtZSI6IjgyMzA0NjEyNjQiLCJzdWIiOiIzIiwiaWF0IjoxNzcyMTk3MzY3LCJleHAiOjE3NzIyODM3Njd9.F-GzqAKiY28jPzap2VXplCedRXmsY8pf6ipZuJ-714k HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:04:02 +0800] "GET /ws?token=eyJhbGciOiJIUzI1NiJ9.eyJ1c2VybmFtZSI6IjgyMzA0NjEyNjQiLCJzdWIiOiIzIiwiaWF0IjoxNzcyMTk3MzY3LCJleHAiOjE3NzIyODM3Njd9.F-GzqAKiY28jPzap2VXplCedRXmsY8pf6ipZuJ-714k HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:04:10 +0800] "GET /ws?token=eyJhbGciOiJIUzI1NiJ9.eyJ1c2VybmFtZSI6IjgyMzA0NjEyNjQiLCJzdWIiOiIzIiwiaWF0IjoxNzcyMTk3MzY3LCJleHAiOjE3NzIyODM3Njd9.F-GzqAKiY28jPzap2VXplCedRXmsY8pf6ipZuJ-714k HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
127.0.0.1 - - [27/Feb/2026:21:04:15 +0800] "GET /ws?token=eyJhbGciOiJIUzI1NiJ9.eyJ1c2VybmFtZSI6IjgyMzA0NjEyNjQiLCJzdWIiOiIzIiwiaWF0IjoxNzcyMTk3MzY3LCJleHAiOjE3NzIyODM3Njd9.F-GzqAKiY28jPzap2VXplCedRXmsY8pf6ipZuJ-714k HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cursor/2.2.3 Chrome/138.0.7204.251 Electron/37.7.0 Safari/537.36"
